sample_id,qubit (ng/uL),sample_type,volume (uL),well,note
KMS09-065,1.9,skin_swab,15,A01,
KMS09-063,3.24,skin_swab,15,B01,
KMS09-061,1.91,skin_swab,15,C01,
KMS09-059,2.1,skin_swab,15,D01,
RKS3067,12,skin_swab,13,E01,all
RKS1070,1.85,skin_swab,13,F01,all
RKS1719,2.46,skin_swab,15,G01,
RKS3072,2,skin_swab,13,H01,all
DBS061,2.78,skin_swab,13,A02,all
DBS211,4.18,skin_swab,10,B02,all
KMS09-039,2.02,skin_swab,15,C02,
KMS09-0308,4.48,skin_swab,15,D02,
KMS09-037,1.95,skin_swab,15,E02,
RKS1173,2.66,skin_swab,13,F02,all
RKS1607,2.42,skin_swab,14,G02,all
KMS09-026,4.3,skin_swab,15,H02,
RKS1612,2.9,skin_swab,13,A03,all
RKS3099,3.34,skin_swab,13,B03,all
RKS1633,7.12,skin_swab,13,C03,all
RKS1776,5.1,skin_swab,13,D03,all
KMS09-020,4.64,skin_swab,15,E03,
RKS3104,11.8,skin_swab,15,F03,all
JES10073,5.66,skin_swab,15,G03,
JES10074,5.54,skin_swab,15,H03,
RKS1211,2.32,skin_swab,12,A04,all
RKS1634,3.54,skin_swab,13,B04,all
RKS1049,5.74,skin_swab,13,C04,all
RKS1638,2.36,skin_swab,13,D04,all
RKS1891,6.34,skin_swab,13,E04,all
RKS4120,9.64,skin_swab,13,F04,all
RKS4991,1.92,skin_swab,13,G04,all
RKS1050,2.52,skin_swab,10,H04,all
RKS1671,4.96,skin_swab,14,A05,all
RKS2562,4.54,skin_swab,13,B05,all
JLS09-006,2.88,skin_swab,15,C05,
JLS09-007,2.22,skin_swab,15,D05,
JLS09-015,5.16,skin_swab,15,E05,
JLS09-029,2.04,skin_swab,15,F05,
JL09-031,3.8,skin_swab,15,G05,
RKS4993,5.24,skin_swab,13,H05,all
RKS1056,2.06,skin_swab,10,A06,all
RKS5022,3.28,skin_swab,13,B06,all
JLS09-033,3.14,skin_swab,15,C06,
JLS09-042,2.62,skin_swab,15,D06,
JLS09-045,2.42,skin_swab,15,E06,
SMS09-002,5.58,skin_swab,15,F06,
SMS09-004,5.78,skin_swab,15,G06,
SMS09-010,3.26,skin_swab,15,H06,
SMS09-014,5.12,skin_swab,15,A07,
RKS7735,2.42,skin_swab,15,B07,
RKS5317,2.86,skin_swab,15,C07,
SV16,27.8,tissue,15,D07,
CBT12174,11.7,tissue,15,E07,
MTT13215,56.4,tissue,15,F07,
SV21,79.4,tissue,15,G07,
SV14,54.5,tissue,15,H07,
RKS26753,12.1,buccal_swab,15,A08,
RKS26103.1,4.74,buccal_swab,15,B08,
RKS26728.1,8.27,buccal_swab,15,C08,
RKS26632.1,6.95,buccal_swab,15,D08,
RKS25881.1,2.64,buccal_swab,15,E08,
RKS26449.1,8,buccal_swab,15,F08,
RKS26741,4,buccal_swab,15,G08,
RKS26637,5.72,buccal_swab,15,H08,
JLS09-047,1.85,skin_swab,15,A09,
SMS09-006,1.96,skin_swab,15,B09,
JLS09-018,1.7,skin_swab,15,C09,
SMS09-001,1.92,skin_swab,15,D09,
KMS09-025,1.8,skin_swab,15,E09,
DBS070,1.07,skin_swab,13,F09,all
RKS1061,1.8,skin_swab,12,G09,all
RKS1470,1.71,skin_swab,13,H09,all
150620-15,5.16,buccal_swab,15,A10,
150621-21,9.12,buccal_swab,15,B10,
150623-16,6.56,buccal_swab,15,C10,
150628-11,5.9,buccal_swab,15,D10,
150629-11,11.66,buccal_swab,15,E10,
150701-03,6.84,buccal_swab,15,F10,
150704-04,5.3,buccal_swab,15,G10,
160705-A14,14.5,buccal_swab,15,H10,
150713-A02,4.32,buccal_swab,15,A11,
150713-A05,5.16,buccal_swab,15,B11,
151208-J10,4.68,buccal_swab,15,C11,
160709-A05,9.22,buccal_swab,15,D11,
160709-G02,4.94,buccal_swab,15,E11,
160709-G05,7.78,buccal_swab,15,F11,
160710-A01,4.66,buccal_swab,15,G11,
160712-A02,10.9,buccal_swab,15,H11,
150615-A01,7.18,buccal_swab,15,A12,
150615-J08,6.34,buccal_swab,15,B12,
150616-M05,8.98,buccal_swab,15,C12,
160606-G01,17.78,buccal_swab,15,D12,
160607-04,16.08,buccal_swab,15,E12,
160608-A07,8.74,buccal_swab,15,F12,
160608-G02,6.56,buccal_swab,15,G12,
160609-A18,19.24,buccal_swab,13,H12,all