"","bear","bear-grhn","bear-sth2","bear-stha","bear-sthc","cache-sulphurck","calav-esperck","calav-jesusmariack","deer-clearck","deer-clec","dry-cantua_al","eel","fea-beanck","fea-spanish-bgulch","fea-spanish-silverck","fea-spanishck","klam-aiken","lagun-halleckck","mad-mapleck","mad-redwoodck","mad-redwoodck2","mat-bearriver","mat-headwatermattole","mat-lowermattole","mfa-amec","mfa-gasc","mfa-todc","mfy-oregck","mfy-us-oh","nfa","nfa-bunc","nfa-euchds","nfa-euchus","nfa-indc","nfa-pond","nfa-robr","nfa-saic","nfa-shic","nfa-slar","nff-poe","nfmfa-sc","nfy","nfy-slate-cgrav","nfy-slate-onion","paj-clearck","paj-sanbenito","put-cold","put-wildhorseck","rub-lc-us","rub-usph","russ-mwsprngck","salin-losburros","sancarp-dutrack","sfa-cami","sfeel-cedar","sfeel-elder","sfy-fallck","sfy-loga","sfy-mcki","sfy-misc","sfy-rockck","sfy-scotchman","sfy-shadyck","sfy-springck","smith","smith-hurdygurdyck","soquel-ebsc","ssantiam","sumpqua","trin-sftrinity","trin-sftrinity-sandybar","trin-tishtang","tuo-clavey","vandz-dinsmore","vandz-rootcreek","vandz-shanty"
"mfy-oregck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.115781,0.164491,0.187136,0.199823,0.202972,0.18304,0.18733,0.161097,0.206075,0.158995,0.183068,0.275427,0.214945,0.155059,0.255735,0.244137,0.387646,0.37414,0.338076,0.322074,0.210175,0.233164,0.275243,0.391922,0.376532,0.306928,0.279417,0.308821,0.176293,0.162747,0.184844,0.151715,0.195754,0.221154,0.15337,0.2012,0.254589,0.2953,0.361566,0.309221,0.323207,0.235651,0.250584,0.269768,0.339205,0.258988,0.266812,0.348902
"mfy-us-oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169324,0.176111,0.198892,0.206927,0.172069,0.189571,0.163632,0.200774,0.155826,0.17711,0.272916,0.218166,0.156656,0.249567,0.241739,0.396203,0.378005,0.338383,0.324835,0.22018,0.228148,0.288767,0.399781,0.387502,0.311129,0.287948,0.32351,0.181777,0.165993,0.179338,0.155555,0.179364,0.24372,0.153058,0.188822,0.278292,0.29652,0.367224,0.320924,0.331678,0.251852,0.262194,0.276485,0.348663,0.27139,0.28656,0.353697
"nfa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128303,0.117618,0.121114,0.110133,0.122182,0.074689,0.129438,0.096823,0.10049,0.274877,0.167536,0.172335,0.26117,0.25368,0.384745,0.375345,0.341132,0.326163,0.163719,0.191562,0.274597,0.392871,0.37778,0.283672,0.284129,0.306758,0.189353,0.179106,0.197972,0.164642,0.207462,0.232823,0.17493,0.213503,0.253719,0.299808,0.361968,0.314033,0.322214,0.236994,0.254338,0.271933,0.32707,0.261638,0.265658,0.34602
"nfa-bunc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15587,0.158289,0.125763,0.152437,0.124892,0.155392,0.113061,0.137355,0.287029,0.187118,0.194983,0.286343,0.273824,0.411369,0.389923,0.354595,0.340011,0.196118,0.205676,0.299907,0.411009,0.399372,0.297794,0.303424,0.340294,0.214712,0.195739,0.212521,0.18106,0.219644,0.274326,0.184043,0.225981,0.288755,0.314354,0.378041,0.338341,0.344612,0.259956,0.276933,0.29298,0.353837,0.284373,0.298138,0.374694
"nfa-euchds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103107,0.129633,0.157598,0.120495,0.128242,0.122162,0.135893,0.310462,0.195636,0.214694,0.320886,0.307757,0.437324,0.39867,0.37088,0.348642,0.188001,0.210257,0.286694,0.419013,0.407666,0.319457,0.298436,0.335722,0.229329,0.228157,0.252124,0.212664,0.254502,0.283266,0.210078,0.26714,0.276201,0.311356,0.385007,0.344652,0.346159,0.247618,0.268144,0.287444,0.372113,0.276392,0.288587,0.386657
"nfa-euchus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142311,0.164565,0.123102,0.131148,0.131771,0.146379,0.305209,0.199355,0.216813,0.325134,0.304781,0.442929,0.397875,0.371027,0.34896,0.1933,0.2172,0.279533,0.41888,0.403966,0.319282,0.295625,0.324533,0.238953,0.23367,0.258527,0.209321,0.263612,0.282266,0.212186,0.268414,0.265384,0.306332,0.381198,0.34486,0.340972,0.238714,0.264943,0.284459,0.378563,0.269078,0.278176,0.384033
"nfa-indc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.138975,0.105564,0.138835,0.089487,0.115368,0.30163,0.186632,0.193434,0.307886,0.292438,0.419268,0.395024,0.35812,0.341743,0.182479,0.195323,0.301033,0.413541,0.405829,0.307432,0.301344,0.346658,0.204754,0.206398,0.218144,0.190454,0.220786,0.282063,0.18788,0.228405,0.298793,0.318797,0.383156,0.340833,0.345969,0.26421,0.277094,0.29238,0.359821,0.286558,0.299797,0.377223
"nfa-pond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120663,0.17163,0.117051,0.145541,0.293923,0.194697,0.192963,0.307228,0.284121,0.432047,0.405178,0.370582,0.351135,0.189106,0.221394,0.273224,0.424891,0.408106,0.310725,0.293966,0.313336,0.217331,0.207293,0.235238,0.186048,0.241321,0.252525,0.197721,0.252004,0.254431,0.305001,0.389426,0.354688,0.333905,0.231757,0.259805,0.277147,0.365196,0.262933,0.270959,0.368566
"nfa-robr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12898,0.092593,0.092642,0.269338,0.167736,0.173975,0.259645,0.242311,0.377548,0.369206,0.334824,0.320577,0.164162,0.189073,0.271557,0.390326,0.376072,0.275703,0.279295,0.305613,0.180819,0.171941,0.190195,0.159752,0.198894,0.231666,0.171193,0.203629,0.253665,0.291455,0.356692,0.311853,0.316844,0.236834,0.254313,0.268044,0.321027,0.258541,0.266241,0.338019
"nfa-saic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133484,0.140153,0.307304,0.196012,0.217679,0.312074,0.296716,0.422892,0.387907,0.357948,0.344226,0.195048,0.208948,0.294111,0.4088,0.395967,0.313536,0.30274,0.343412,0.23384,0.224087,0.248215,0.205369,0.250988,0.298464,0.211847,0.255592,0.286495,0.313025,0.376392,0.330681,0.34815,0.255479,0.275962,0.292871,0.36319,0.281947,0.296852,0.386012
"nfa-shic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107115,0.274714,0.167526,0.166665,0.265789,0.25165,0.38402,0.37296,0.340124,0.324506,0.163739,0.186004,0.279231,0.396031,0.383638,0.283397,0.28129,0.311959,0.180433,0.172684,0.190028,0.163194,0.195065,0.241328,0.165042,0.204157,0.26538,0.300226,0.362462,0.322663,0.321071,0.241192,0.256917,0.271326,0.329817,0.265767,0.275031,0.343236
"nfa-slar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2971,0.188773,0.193724,0.298828,0.284261,0.418742,0.394235,0.360264,0.343566,0.186862,0.201652,0.290504,0.413836,0.401887,0.310884,0.296349,0.332955,0.205119,0.19865,0.225046,0.189216,0.225006,0.274067,0.188231,0.231182,0.283877,0.310101,0.38163,0.338229,0.338942,0.251871,0.271714,0.286303,0.360954,0.274301,0.287406,0.371641
"nff-poe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.300868,0.275487,0.300977,0.293924,0.398354,0.390244,0.334464,0.305879,0.313401,0.321857,0.25272,0.416312,0.398982,0.339332,0.245828,0.275683,0.309033,0.284195,0.302137,0.27258,0.311639,0.307438,0.275593,0.312891,0.232843,0.254197,0.372555,0.337641,0.311413,0.184874,0.200597,0.207956,0.377629,0.219225,0.240782,0.303215
"nfmfa-sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219342,0.303199,0.28532,0.406844,0.38355,0.355513,0.342186,0.13306,0.152412,0.294067,0.402383,0.384301,0.286078,0.301408,0.333218,0.239181,0.222376,0.249152,0.207954,0.262847,0.283613,0.221617,0.265564,0.281605,0.314302,0.371776,0.32236,0.344864,0.258092,0.278039,0.29327,0.338213,0.279534,0.290823,0.378505
"nfy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251422,0.244581,0.398902,0.380098,0.346598,0.331832,0.218259,0.24046,0.278668,0.400262,0.381843,0.314293,0.285113,0.318918,0.192055,0.178845,0.199735,0.162194,0.215366,0.247269,0.163744,0.222794,0.2672,0.302096,0.36697,0.314287,0.337595,0.242661,0.259028,0.274877,0.348684,0.262548,0.272142,0.359559
"nfy-slate-cgrav",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272673,0.475775,0.426731,0.40582,0.379191,0.31171,0.33211,0.287521,0.448154,0.429195,0.367119,0.317469,0.326013,0.318505,0.283727,0.340026,0.269793,0.343081,0.310385,0.27083,0.345799,0.277607,0.3042,0.405562,0.380004,0.368531,0.251628,0.283879,0.303947,0.426272,0.280604,0.298836,0.397658
"nfy-slate-onion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45188,0.409288,0.394393,0.36774,0.302536,0.316321,0.273683,0.434895,0.408161,0.35456,0.307199,0.312066,0.292093,0.272796,0.313406,0.247898,0.33263,0.299458,0.257464,0.328413,0.254487,0.29116,0.389654,0.357757,0.344378,0.230753,0.273146,0.284155,0.411407,0.263691,0.279907,0.381421
"paj-clearck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13676,0.436594,0.407956,0.410802,0.424296,0.307291,0.405864,0.386868,0.434856,0.350353,0.375046,0.444081,0.430531,0.486636,0.403392,0.492348,0.426082,0.399281,0.496587,0.316646,0.34392,0.282674,0.380922,0.376169,0.284208,0.32552,0.343034,0.477451,0.318528,0.335057,0.456522
"paj-sanbenito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3933,0.379196,0.386316,0.38988,0.329045,0.362607,0.349546,0.401432,0.351682,0.38973,0.401208,0.396816,0.420401,0.380844,0.422026,0.420846,0.378366,0.424175,0.350811,0.350257,0.24801,0.332146,0.375129,0.313485,0.337649,0.352322,0.407183,0.334717,0.35305,0.432753
"put-cold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184404,0.356285,0.365175,0.249517,0.415275,0.40092,0.393809,0.232601,0.307009,0.374241,0.369563,0.391548,0.349083,0.391466,0.396592,0.347075,0.399641,0.283269,0.277854,0.378259,0.320017,0.349544,0.227013,0.239288,0.253783,0.412193,0.228877,0.249742,0.346036
"put-wildhorseck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.342669,0.350053,0.220397,0.402813,0.389277,0.374538,0.193612,0.26878,0.351274,0.348263,0.363794,0.335141,0.362546,0.373048,0.331133,0.37061,0.261423,0.255425,0.3665,0.312139,0.324863,0.200354,0.207868,0.219772,0.390873,0.193921,0.216392,0.29377
"rub-lc-us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133431,0.284056,0.401801,0.387256,0.294173,0.30056,0.330799,0.23964,0.230812,0.253141,0.215333,0.261062,0.269909,0.225244,0.268146,0.267559,0.317809,0.372902,0.322911,0.343085,0.251624,0.270639,0.292969,0.33603,0.279376,0.284579,0.379568
"rub-usph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307864,0.412015,0.397655,0.309344,0.313171,0.36032,0.2604,0.2512,0.274034,0.234423,0.277107,0.321174,0.236883,0.281994,0.30459,0.324449,0.380471,0.332928,0.359029,0.274342,0.291588,0.307933,0.358285,0.297107,0.31534,0.396146
"russ-mwsprngck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344232,0.328273,0.306647,0.170281,0.178683,0.27677,0.272275,0.274902,0.276806,0.279003,0.255131,0.290041,0.284042,0.171492,0.220915,0.316525,0.269131,0.242973,0.14312,0.168754,0.18563,0.301639,0.160849,0.154985,0.212877
"salin-losburros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153944,0.420936,0.374254,0.414583,0.424593,0.423988,0.445632,0.403995,0.440708,0.431696,0.402451,0.449639,0.360042,0.372613,0.365113,0.352516,0.353399,0.336387,0.356404,0.373976,0.426697,0.359144,0.375611,0.459644
"sancarp-dutrack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.403763,0.359338,0.394307,0.405231,0.402664,0.429388,0.381907,0.427975,0.413273,0.388215,0.433073,0.340777,0.356807,0.352964,0.328816,0.352171,0.32059,0.341605,0.359382,0.402359,0.340229,0.35447,0.444546
"sfa-cami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.331164,0.359631,0.343542,0.324355,0.349574,0.304131,0.362528,0.34643,0.313329,0.364231,0.309779,0.334497,0.386549,0.357029,0.363346,0.278052,0.304705,0.322204,0.288482,0.3044,0.319354,0.409041
"sfeel-cedar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159737,0.29481,0.291915,0.298139,0.291128,0.300833,0.30468,0.289003,0.305656,0.195847,0.196134,0.336951,0.28384,0.266885,0.123356,0.129249,0.134187,0.338694,0.101375,0.117904,0.191229
"sfeel-elder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.325799,0.319945,0.328618,0.317064,0.336584,0.283236,0.328554,0.343031,0.169035,0.234946,0.367583,0.341718,0.287826,0.133516,0.173739,0.188222,0.368266,0.147589,0.152897,0.231271
"sfy-fallck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166453,0.194815,0.143894,0.210975,0.244711,0.186992,0.2193,0.269565,0.306571,0.390337,0.340284,0.348278,0.236159,0.266888,0.284899,0.390294,0.264675,0.277289,0.385263
"sfy-loga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162724,0.099864,0.206008,0.230545,0.169313,0.199406,0.2577,0.300598,0.380922,0.338715,0.343916,0.232478,0.261001,0.278727,0.377884,0.260443,0.272831,0.374298
"sfy-mcki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143963,0.244364,0.257925,0.188235,0.252707,0.261935,0.307653,0.396446,0.374471,0.352858,0.232201,0.267596,0.287906,0.430709,0.265573,0.281208,0.401266
"sfy-misc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175997,0.214493,0.153431,0.182307,0.261404,0.303283,0.36752,0.321297,0.334047,0.234702,0.258175,0.276408,0.346758,0.26036,0.270829,0.363338
"sfy-rockck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278017,0.197156,0.227719,0.268217,0.306218,0.402732,0.376338,0.341046,0.239022,0.267587,0.287399,0.437912,0.272829,0.289034,0.403785
"sfy-scotchman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249516,0.280708,0.224173,0.310766,0.397258,0.369143,0.336654,0.220851,0.263147,0.288172,0.382895,0.26703,0.264995,0.351271
"sfy-shadyck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205651,0.280466,0.302631,0.367866,0.321732,0.335118,0.249348,0.263562,0.279772,0.3545,0.269174,0.28297,0.363075
"sfy-springck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.271527,0.311199,0.408966,0.375331,0.350857,0.240132,0.275985,0.29116,0.437935,0.273792,0.291423,0.409457
"smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.214469,0.323064,0.282485,0.243873,0.093958,0.131592,0.153769,0.297061,0.164443,0.153207,0.216718
"smith-hurdygurdyck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338584,0.269911,0.267845,0.173295,0.187059,0.189644,0.336158,0.179244,0.197651,0.244893
"soquel-ebsc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32994,0.361762,0.301505,0.320811,0.339402,0.394204,0.322694,0.338006,0.412802
"ssantiam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.299819,0.255962,0.272187,0.285596,0.357752,0.265855,0.287373,0.38091
"sumpqua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215877,0.241995,0.257215,0.380215,0.249786,0.251393,0.317276
"trin-sftrinity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076251,0.08689,0.27363,0.096786,0.096023,0.150898
"trin-sftrinity-sandybar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.074977,0.308452,0.110328,0.121277,0.188686
"trin-tishtang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.330862,0.116245,0.131693,0.196392
"tuo-clavey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.306683,0.32019,0.446934
"vandz-dinsmore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092001,0.154942
"vandz-rootcreek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186882
