"",E-1,E-2,N-Fea-35,N-Fea-36,N-Fea-37,N-Fea-38,N-Fea-39,NE-10,NE-11,NE-12,NE-13,NE-14,NE-15,NE-16,NE-17,NE-18,NE-19,NE-20,NE-21,NE-22,NE-23,NE-24,NE-25,NE-26,NE-27,NE-28,NE-29,NE-3,NE-30,NE-31,NE-32,NE-33,NE-34,NE-4,NE-5,NE-6,NE-7,NE-8,NE-9,NW-40,NW-41,NW-42,NW-43,NW-44,NW-45,NW-46,NW-47,NW-48,NW-49,NW-50,NW-51,NW-52,NW-53,NW-54,NW-55,NW-56,NW-57,SW-58,SW-59,W-60,W-61,W-62,W-63
E-1,0,0.205438,0.272841,0.277524,0.29461,0.288986,0.28795,0.203563,0.212,0.261146,0.261806,0.237049,0.242961,0.256433,0.253242,0.25372,0.231245,0.231072,0.271868,0.233697,0.253345,0.232845,0.265293,0.258375,0.239314,0.251866,0.270738,0.235339,0.24975,0.246352,0.268584,0.269911,0.272073,0.258331,0.251498,0.286908,0.24898,0.264656,0.17091,0.277241,0.290694,0.279385,0.270435,0.273856,0.27807,0.343517,0.326276,0.293697,0.294927,0.296895,0.303622,0.24865,0.274776,0.280234,0.269737,0.264765,0.290001,0.370913,0.359227,0.314743,0.364531,0.350637,0.340481
E-2,0.205438,0,0.288196,0.302047,0.315312,0.300345,0.330344,0.287466,0.289311,0.301147,0.306732,0.288957,0.307473,0.303215,0.301824,0.311485,0.282419,0.286807,0.320151,0.292793,0.306943,0.290852,0.304141,0.296337,0.285796,0.302545,0.306975,0.285391,0.298597,0.290816,0.318441,0.316506,0.319417,0.320602,0.308172,0.338483,0.306813,0.314337,0.258875,0.296129,0.309325,0.296901,0.289509,0.29493,0.297641,0.359906,0.347177,0.304817,0.313297,0.308514,0.297193,0.26333,0.295035,0.301481,0.28729,0.276665,0.313284,0.376255,0.358391,0.318599,0.372326,0.355622,0.350035
N-Fea-35,0.272841,0.288196,0,0.006853,0.016606,0.014119,0.18755,0.265293,0.273109,0.232629,0.229512,0.239863,0.244943,0.255687,0.243327,0.258773,0.232094,0.232541,0.257143,0.240994,0.248784,0.24999,0.232017,0.195547,0.257522,0.256983,0.239126,0.204699,0.216505,0.218734,0.235439,0.239906,0.236288,0.240711,0.234536,0.242277,0.236557,0.232491,0.264973,0.227779,0.244426,0.235767,0.229286,0.230693,0.230478,0.288315,0.275262,0.252556,0.250794,0.240896,0.234459,0.204853,0.228705,0.231058,0.22303,0.216658,0.233325,0.338441,0.320213,0.274157,0.320818,0.312134,0.303774
N-Fea-36,0.277524,0.302047,0.006853,0,0.016184,0.014632,0.193299,0.271338,0.278006,0.241554,0.237447,0.24789,0.24886,0.265618,0.252973,0.268637,0.245744,0.236327,0.26685,0.249355,0.257501,0.252864,0.239932,0.20758,0.264207,0.262574,0.246952,0.210501,0.221047,0.221565,0.242406,0.246382,0.248755,0.24415,0.244002,0.254058,0.238854,0.238184,0.27068,0.235841,0.252726,0.244539,0.237514,0.239494,0.23996,0.301987,0.285485,0.26262,0.261728,0.247059,0.242339,0.217244,0.240537,0.239393,0.232289,0.229384,0.244482,0.351001,0.33144,0.283214,0.334469,0.322173,0.312879
N-Fea-37,0.29461,0.315312,0.016606,0.016184,0,0.00763,0.193761,0.284057,0.292253,0.248544,0.240619,0.2536,0.263912,0.27359,0.265204,0.272102,0.256855,0.243691,0.272612,0.252663,0.266863,0.265255,0.25168,0.209106,0.280373,0.272452,0.258684,0.207047,0.238596,0.242735,0.256728,0.254947,0.25705,0.261465,0.257721,0.226864,0.254075,0.248182,0.283237,0.236559,0.253699,0.249359,0.238544,0.243383,0.242575,0.303207,0.287593,0.261578,0.26021,0.2378,0.253715,0.218507,0.243533,0.240427,0.234315,0.236777,0.242946,0.359154,0.33983,0.295515,0.340028,0.328917,0.320228
N-Fea-38,0.288986,0.300345,0.014119,0.014632,0.00763,0,0.196853,0.27988,0.287137,0.243169,0.235678,0.249789,0.258435,0.258875,0.251238,0.263274,0.242309,0.242171,0.260901,0.245557,0.255667,0.26448,0.24467,0.212698,0.268397,0.268256,0.244819,0.212051,0.230872,0.237528,0.235704,0.248353,0.243155,0.253325,0.243901,0.237074,0.249623,0.241857,0.281545,0.232394,0.247317,0.243142,0.23521,0.239221,0.233177,0.295241,0.281983,0.260738,0.255745,0.244492,0.243293,0.214205,0.234219,0.235125,0.231821,0.227299,0.235568,0.348619,0.33294,0.288173,0.330529,0.322579,0.316181
N-Fea-39,0.28795,0.330344,0.18755,0.193299,0.193761,0.196853,0,0.252614,0.265096,0.228915,0.223005,0.230853,0.234397,0.259206,0.252574,0.250166,0.232912,0.224872,0.268221,0.229427,0.245154,0.250119,0.225756,0.213596,0.26922,0.2672,0.250994,0.203693,0.223273,0.222741,0.242152,0.232116,0.242892,0.232242,0.232154,0.238317,0.228703,0.226813,0.257295,0.182332,0.196103,0.198825,0.191799,0.186972,0.186724,0.279708,0.251988,0.232615,0.202285,0.211968,0.281136,0.154919,0.165152,0.16207,0.178763,0.186991,0.193653,0.36649,0.352398,0.298953,0.348056,0.337043,0.323782
NE-10,0.203563,0.287466,0.265293,0.271338,0.284057,0.27988,0.252614,0,0.09566,0.187751,0.187637,0.137059,0.152178,0.165966,0.1667,0.157207,0.132366,0.135064,0.188424,0.135298,0.157378,0.154941,0.191588,0.214181,0.168807,0.18597,0.194218,0.154439,0.173655,0.173487,0.198833,0.192996,0.199944,0.167294,0.165792,0.209797,0.158375,0.190495,0.118582,0.258132,0.270936,0.261238,0.248791,0.254556,0.257847,0.338268,0.320163,0.28054,0.275394,0.28263,0.315802,0.226081,0.254432,0.254303,0.247361,0.242469,0.269902,0.387847,0.373759,0.326177,0.373942,0.364136,0.352545
NE-11,0.212,0.289311,0.273109,0.278006,0.292253,0.287137,0.265096,0.09566,0,0.205416,0.200792,0.154224,0.168223,0.180448,0.180766,0.169417,0.146595,0.156655,0.195527,0.151464,0.169757,0.171322,0.208614,0.23233,0.173958,0.19513,0.210223,0.170355,0.187109,0.187787,0.207027,0.211339,0.214374,0.181777,0.177774,0.231263,0.176362,0.203403,0.132533,0.264865,0.275858,0.267898,0.25813,0.263365,0.267795,0.339607,0.322572,0.289627,0.281898,0.292923,0.319844,0.235733,0.261632,0.264976,0.257316,0.252771,0.278704,0.387166,0.37668,0.329687,0.378181,0.366047,0.357168
NE-12,0.261146,0.301147,0.232629,0.241554,0.248544,0.243169,0.228915,0.187751,0.205416,0,0.074561,0.122707,0.145802,0.151525,0.153121,0.140057,0.118621,0.121942,0.180508,0.11937,0.136805,0.174728,0.10716,0.161382,0.169621,0.192898,0.114047,0.131404,0.10074,0.101988,0.115873,0.116058,0.125513,0.140759,0.133374,0.194651,0.135469,0.140007,0.194225,0.2285,0.241693,0.235839,0.221172,0.228872,0.228752,0.308769,0.290643,0.254792,0.246261,0.256705,0.276386,0.19749,0.220745,0.228404,0.219125,0.210305,0.243697,0.361503,0.351044,0.299458,0.350878,0.342112,0.332357
NE-13,0.261806,0.306732,0.229512,0.237447,0.240619,0.235678,0.223005,0.187637,0.200792,0.074561,0,0.124314,0.135311,0.145118,0.151199,0.12701,0.119089,0.119767,0.165182,0.110877,0.127428,0.173655,0.108995,0.155079,0.173855,0.186151,0.118719,0.120016,0.09895,0.099454,0.097804,0.109351,0.109432,0.126957,0.123468,0.162367,0.130308,0.126738,0.201573,0.231077,0.244697,0.240815,0.22616,0.234024,0.234299,0.304515,0.288195,0.262911,0.250738,0.259456,0.287286,0.208954,0.225855,0.231548,0.228887,0.226298,0.246668,0.366147,0.35726,0.306133,0.355374,0.342952,0.335125
NE-14,0.237049,0.288957,0.239863,0.24789,0.2536,0.249789,0.230853,0.137059,0.154224,0.122707,0.124314,0,0.074823,0.051788,0.055523,0.044979,0.04342,0.019185,0.088845,0.04191,0.034458,0.121323,0.124897,0.181439,0.117546,0.141625,0.121872,0.088188,0.114491,0.110661,0.128946,0.132905,0.135189,0.091859,0.082245,0.15697,0.083398,0.12711,0.151512,0.230409,0.24173,0.235176,0.221078,0.228119,0.230662,0.308378,0.29147,0.253931,0.248029,0.259896,0.284657,0.195989,0.222551,0.227956,0.218876,0.209121,0.240314,0.36034,0.352179,0.30451,0.350273,0.341243,0.333967
NE-15,0.242961,0.307473,0.244943,0.24886,0.263912,0.258435,0.234397,0.152178,0.168223,0.145802,0.135311,0.074823,0,0.098527,0.100794,0.07828,0.073808,0.076565,0.124895,0.063607,0.086434,0.140074,0.146786,0.189312,0.149322,0.162837,0.150917,0.106769,0.126153,0.125399,0.13913,0.143102,0.145443,0.10483,0.104122,0.171967,0.10327,0.142792,0.16741,0.246487,0.259868,0.252101,0.240352,0.244601,0.25061,0.321781,0.303961,0.277017,0.267213,0.275906,0.305939,0.220285,0.241539,0.247028,0.240916,0.23688,0.262185,0.376139,0.367704,0.317033,0.365606,0.354387,0.345014
NE-16,0.256433,0.303215,0.255687,0.265618,0.27359,0.258875,0.259206,0.165966,0.180448,0.151525,0.145118,0.051788,0.098527,0,0.007488,0.058963,0.063351,0.063451,0.062206,0.06251,0.063956,0.140445,0.16053,0.207941,0.130811,0.149694,0.144695,0.117287,0.147509,0.150756,0.141257,0.156783,0.155124,0.117072,0.097948,0.17796,0.113081,0.150164,0.183045,0.245728,0.25711,0.253588,0.238285,0.249015,0.247424,0.320956,0.302482,0.274536,0.262242,0.274419,0.292685,0.222904,0.238245,0.246205,0.243195,0.237023,0.261179,0.374376,0.367273,0.316391,0.368535,0.351946,0.343586
NE-17,0.253242,0.301824,0.243327,0.252973,0.265204,0.251238,0.252574,0.1667,0.180766,0.153121,0.151199,0.055523,0.100794,0.007488,0,0.070134,0.069809,0.068212,0.064405,0.073086,0.070319,0.139113,0.159068,0.206704,0.136031,0.150326,0.147149,0.117764,0.146604,0.141739,0.141178,0.154155,0.145958,0.116429,0.102854,0.180525,0.111722,0.148152,0.183714,0.243035,0.252817,0.247272,0.234943,0.243333,0.245849,0.315687,0.299686,0.270151,0.26011,0.269705,0.28504,0.218712,0.240804,0.2449,0.238078,0.230457,0.257535,0.368975,0.359471,0.311488,0.366384,0.345492,0.336607
NE-18,0.25372,0.311485,0.258773,0.268637,0.272102,0.263274,0.250166,0.157207,0.169417,0.140057,0.12701,0.044979,0.07828,0.058963,0.070134,0,0.054504,0.053858,0.090817,0.034567,0.054408,0.13622,0.142984,0.209531,0.131183,0.149686,0.136404,0.105765,0.135316,0.134359,0.128664,0.140981,0.140808,0.102633,0.086863,0.166094,0.096433,0.136431,0.174287,0.24588,0.257147,0.252393,0.238001,0.247337,0.249195,0.322646,0.304106,0.277249,0.263686,0.279044,0.307174,0.224771,0.239641,0.245413,0.243653,0.24046,0.260599,0.379078,0.374366,0.324488,0.371612,0.359426,0.35003
NE-19,0.231245,0.282419,0.232094,0.245744,0.256855,0.242309,0.232912,0.132366,0.146595,0.118621,0.119089,0.04342,0.073808,0.063351,0.069809,0.054504,0,0.052406,0.10411,0.043025,0.06012,0.118898,0.116482,0.186298,0.112286,0.141683,0.119495,0.09848,0.112283,0.10678,0.121565,0.12861,0.135609,0.094678,0.082452,0.173503,0.091551,0.127593,0.143648,0.225579,0.239085,0.229138,0.216218,0.225312,0.23052,0.300823,0.286896,0.251722,0.24535,0.2548,0.285256,0.199707,0.218232,0.224094,0.217942,0.212781,0.244428,0.360184,0.348911,0.301704,0.354565,0.339671,0.329495
NE-20,0.231072,0.286807,0.232541,0.236327,0.243691,0.242171,0.224872,0.135064,0.156655,0.121942,0.119767,0.019185,0.076565,0.063451,0.068212,0.053858,0.052406,0,0.096145,0.04774,0.038099,0.12438,0.127641,0.172231,0.121517,0.144501,0.123852,0.087723,0.113309,0.110671,0.126587,0.131766,0.134743,0.09507,0.084381,0.151566,0.086231,0.12545,0.152325,0.228724,0.240028,0.233785,0.219173,0.226815,0.229531,0.30345,0.285701,0.253989,0.244779,0.254392,0.282412,0.199705,0.222772,0.225625,0.221016,0.214838,0.24071,0.358396,0.349375,0.299952,0.347198,0.337017,0.327463
NE-21,0.271868,0.320151,0.257143,0.26685,0.272612,0.260901,0.268221,0.188424,0.195527,0.180508,0.165182,0.088845,0.124895,0.062206,0.064405,0.090817,0.10411,0.096145,0,0.09405,0.088281,0.163265,0.185522,0.222376,0.164427,0.168316,0.171961,0.136997,0.166537,0.166742,0.159129,0.17845,0.163943,0.141592,0.131424,0.184241,0.137965,0.171369,0.20752,0.257741,0.269287,0.264177,0.253643,0.26086,0.261902,0.328848,0.313508,0.287377,0.275925,0.284647,0.303157,0.23726,0.255586,0.260358,0.256069,0.255548,0.272377,0.381836,0.374296,0.328168,0.376836,0.358971,0.352422
NE-22,0.233697,0.292793,0.240994,0.249355,0.252663,0.245557,0.229427,0.135298,0.151464,0.11937,0.110877,0.04191,0.063607,0.06251,0.073086,0.034567,0.043025,0.04774,0.09405,0,0.054672,0.123058,0.123659,0.176309,0.119089,0.141628,0.124192,0.088285,0.114596,0.113969,0.114203,0.123502,0.128583,0.089796,0.079143,0.140787,0.085214,0.120241,0.151114,0.22824,0.241549,0.237639,0.223853,0.231211,0.230817,0.305521,0.287727,0.260659,0.24621,0.26062,0.292567,0.20575,0.223139,0.228033,0.227121,0.224331,0.241835,0.362823,0.356228,0.305477,0.350757,0.340826,0.331171
NE-23,0.253345,0.306943,0.248784,0.257501,0.266863,0.255667,0.245154,0.157378,0.169757,0.136805,0.127428,0.034458,0.086434,0.063956,0.070319,0.054408,0.06012,0.038099,0.088281,0.054672,0,0.13615,0.140869,0.19699,0.13417,0.148486,0.131858,0.104254,0.125554,0.130139,0.128979,0.139561,0.138441,0.1049,0.088982,0.166036,0.098731,0.137309,0.173997,0.240467,0.251912,0.245533,0.233111,0.240569,0.242665,0.318387,0.301449,0.270121,0.25828,0.270574,0.297023,0.21593,0.236658,0.241541,0.234365,0.22985,0.25624,0.373586,0.366221,0.317174,0.367205,0.352961,0.343584
NE-24,0.232845,0.290852,0.24999,0.252864,0.265255,0.26448,0.250119,0.154941,0.171322,0.174728,0.173655,0.121323,0.140074,0.140445,0.139113,0.13622,0.118898,0.12438,0.163265,0.123058,0.13615,0,0.177443,0.202949,0.083713,0.100772,0.176863,0.142047,0.156961,0.157374,0.17703,0.185568,0.181183,0.15395,0.145469,0.207034,0.146496,0.178653,0.165526,0.250949,0.265095,0.25622,0.246174,0.24746,0.250538,0.324077,0.30813,0.276612,0.268491,0.278842,0.291861,0.221043,0.246475,0.250856,0.241326,0.23332,0.26517,0.370394,0.359909,0.312076,0.361203,0.351102,0.341841
NE-25,0.265293,0.304141,0.232017,0.239932,0.25168,0.24467,0.225756,0.191588,0.208614,0.10716,0.108995,0.124897,0.146786,0.16053,0.159068,0.142984,0.116482,0.127641,0.185522,0.123659,0.140869,0.177443,0,0.147748,0.173984,0.196278,0.122011,0.136879,0.107898,0.107186,0.126512,0.120776,0.136282,0.138699,0.138603,0.204601,0.136458,0.137855,0.198448,0.233,0.245861,0.238125,0.221988,0.229555,0.232289,0.312969,0.29524,0.255598,0.248871,0.261401,0.282306,0.199555,0.225531,0.23001,0.219912,0.211582,0.245763,0.367153,0.355062,0.303133,0.35452,0.345453,0.334661
NE-26,0.258375,0.296337,0.195547,0.20758,0.209106,0.212698,0.213596,0.214181,0.23233,0.161382,0.155079,0.181439,0.189312,0.207941,0.206704,0.209531,0.186298,0.172231,0.222376,0.176309,0.19699,0.202949,0.147748,0,0.213123,0.225103,0.188754,0.144102,0.155146,0.162139,0.178849,0.178297,0.182254,0.189947,0.184093,0.181809,0.176705,0.178105,0.220569,0.231613,0.252466,0.24256,0.22774,0.235524,0.233008,0.303605,0.288534,0.253987,0.254317,0.238003,0.26535,0.21149,0.232926,0.239934,0.225335,0.224231,0.247064,0.352924,0.340258,0.289554,0.344693,0.331516,0.318543
NE-27,0.239314,0.285796,0.257522,0.264207,0.280373,0.268397,0.26922,0.168807,0.173958,0.169621,0.173855,0.117546,0.149322,0.130811,0.136031,0.131183,0.112286,0.121517,0.164427,0.119089,0.13417,0.083713,0.173984,0.213123,0,0.082573,0.17529,0.158851,0.16977,0.165715,0.177182,0.18795,0.187835,0.164615,0.145076,0.228317,0.1544,0.184934,0.173417,0.248357,0.264312,0.252665,0.240456,0.246811,0.250973,0.320891,0.304632,0.269321,0.264894,0.277792,0.287513,0.217051,0.240051,0.249481,0.241214,0.23021,0.26822,0.366278,0.357324,0.309527,0.364516,0.348999,0.338385
NE-28,0.251866,0.302545,0.256983,0.262574,0.272452,0.268256,0.2672,0.18597,0.19513,0.192898,0.186151,0.141625,0.162837,0.149694,0.150326,0.149686,0.141683,0.144501,0.168316,0.141628,0.148486,0.100772,0.196278,0.225103,0.082573,0,0.192485,0.160941,0.179023,0.179548,0.184321,0.196633,0.190843,0.173007,0.158231,0.216391,0.166684,0.187726,0.192001,0.260633,0.27173,0.265364,0.255654,0.2594,0.2612,0.331071,0.314313,0.284868,0.276895,0.288093,0.297865,0.236218,0.256928,0.262682,0.25555,0.251069,0.272141,0.378673,0.367804,0.320648,0.368809,0.35506,0.348677
NE-29,0.270738,0.306975,0.239126,0.246952,0.258684,0.244819,0.250994,0.194218,0.210223,0.114047,0.118719,0.121872,0.150917,0.144695,0.147149,0.136404,0.119495,0.123852,0.171961,0.124192,0.131858,0.176863,0.122011,0.188754,0.17529,0.192485,0,0.140033,0.06531,0.063415,0.073938,0.121244,0.085437,0.142785,0.135888,0.205679,0.138693,0.139402,0.206509,0.236596,0.249849,0.244316,0.229801,0.238507,0.24126,0.314281,0.297101,0.261445,0.254035,0.265972,0.276889,0.207916,0.235048,0.240317,0.228054,0.222634,0.252899,0.369459,0.356453,0.313607,0.359184,0.344838,0.33826
NE-3,0.235339,0.285391,0.204699,0.210501,0.207047,0.212051,0.203693,0.154439,0.170355,0.131404,0.120016,0.088188,0.106769,0.117287,0.117764,0.105765,0.09848,0.087723,0.136997,0.088285,0.104254,0.142047,0.136879,0.144102,0.158851,0.160941,0.140033,0,0.116204,0.119691,0.131832,0.135005,0.135584,0.097707,0.04392,0.048547,0.033896,0.126619,0.168621,0.222916,0.236473,0.23094,0.216125,0.224441,0.223872,0.2976,0.281703,0.25108,0.243625,0.236659,0.273133,0.202973,0.222503,0.223877,0.218189,0.216827,0.23259,0.350573,0.339644,0.293283,0.335165,0.326176,0.318336
NE-30,0.24975,0.298597,0.216505,0.221047,0.238596,0.230872,0.223273,0.173655,0.187109,0.10074,0.09895,0.114491,0.126153,0.147509,0.146604,0.135316,0.112283,0.113309,0.166537,0.114596,0.125554,0.156961,0.107898,0.155146,0.16977,0.179023,0.06531,0.116204,0,0.020798,0.072849,0.10575,0.070245,0.117936,0.121912,0.185333,0.114883,0.121565,0.186761,0.229785,0.247166,0.238567,0.222728,0.23053,0.235715,0.30836,0.291832,0.257047,0.252571,0.257319,0.27196,0.207039,0.22952,0.232884,0.222885,0.215527,0.24799,0.36878,0.35233,0.301885,0.350062,0.338827,0.329351
NE-31,0.246352,0.290816,0.218734,0.221565,0.242735,0.237528,0.222741,0.173487,0.187787,0.101988,0.099454,0.110661,0.125399,0.150756,0.141739,0.134359,0.10678,0.110671,0.166742,0.113969,0.130139,0.157374,0.107186,0.162139,0.165715,0.179548,0.063415,0.119691,0.020798,0,0.070499,0.102915,0.079943,0.115166,0.122992,0.195297,0.116384,0.12146,0.181302,0.229578,0.244249,0.23554,0.221217,0.228126,0.234104,0.305644,0.290729,0.255716,0.251673,0.259275,0.277832,0.200292,0.225317,0.229687,0.218706,0.213464,0.245434,0.364069,0.348223,0.296727,0.350551,0.338084,0.328392
NE-32,0.268584,0.318441,0.235439,0.242406,0.256728,0.235704,0.242152,0.198833,0.207027,0.115873,0.097804,0.128946,0.13913,0.141257,0.141178,0.128664,0.121565,0.126587,0.159129,0.114203,0.128979,0.17703,0.126512,0.178849,0.177182,0.184321,0.073938,0.131832,0.072849,0.070499,0,0.105097,0.034649,0.128341,0.117847,0.188552,0.131154,0.126279,0.211164,0.237783,0.246803,0.244985,0.232002,0.243895,0.240733,0.30671,0.289163,0.272033,0.254863,0.265765,0.285723,0.224431,0.235708,0.241487,0.238949,0.238509,0.254731,0.366713,0.358137,0.31545,0.365435,0.347248,0.337097
